04011423;Weidedamm (Ortsteil);2014;95;140;-45;57;95;-38;37;72;-35;23;31;-8;7;5;2;12;17;-5;17;23;-6;2;0;2
04011424;In den Hufen (Ortsteil);2014;2;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0401143;Walle (Stadtteil);2014;808;389;419;586;279;307;448;211;237;102;69;33;58;30;28;31;30;1;127;49;78;6;1;5
04011431;Utbremen (Ortsteil);2014;61;37;24;43;25;18;21;14;7;11;3;8;4;3;1;2;3;-1;12;5;7;0;1;-1
04011432;Steffensweg (Ortsteil);2014;115;52;63;80;36;44;67;31;36;24;11;13;12;5;7;3;5;-2;18;6;12;2;0;2
04011433;Westend (Ortsteil);2014;217;110;107;146;75;71;105;59;46;23;20;3;14;7;7;8;11;-3;48;17;31;1;0;1
04011434;Walle (Ortsteil);2014;255;110;145;196;81;115;160;64;96;30;23;7;13;10;3;13;7;6;32;12;20;1;0;1
04011435;Osterfeuerberg (Ortsteil);2014;130;69;61;99;52;47;80;36;44;13;7;6;13;5;8;4;4;0;12;8;4;2;0;2
04011436;Hohweg (Ortsteil);2014;4;2;2;2;.;.;2;.;.;0;.;.;0;.;.;0;.;.;2;.;.;0;.;.
04011437;Überseestadt (Ortsteil);2014;26;9;17;20;9;11;13;7;6;1;5;-4;2;0;2;1;0;1;3;0;3;0;0;0
0401144;Gröpelingen (Stadtteil);2014;1423;644;779;1100;507;593;920;338;582;152;60;92;94;33;61;24;10;14;191;90;101;14;4;10
04011441;Lindenhof (Ortsteil);2014;433;162;271;366;141;225;319;106;213;48;10;38;21;10;11;4;1;3;40;10;30;2;0;2
04011442;Gröpelingen (Ortsteil);2014;310;154;156;210;118;92;165;71;94;40;18;22;26;7;19;2;2;0;70;27;43;2;0;2
04011443;Ohlenhof (Ortsteil);2014;405;166;239;304;120;184;252;65;187;40;13;27;36;12;24;7;2;5;52;29;23;6;3;3
04011444;In den Wischen (Ortsteil);2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04011445;Oslebshausen (Ortsteil);2014;275;162;113;220;128;92;184;96;88;24;19;5;11;4;7;11;5;6;29;24;5;4;1;3
040115;Nord (Stadtbezirk);2014;1746;1012;734;1195;713;482;943;524;419;136;119;17;98;60;38;79;64;15;360;171;189;14;4;10
0401151;Burglesum (Stadtteil);2014;517;324;193;328;226;102;254;161;93;45;41;4;39;18;21;27;24;3;123;55;68;0;1;-1
04011511;Burg-Grambke (Ortsteil);2014;147;63;84;110;51;59;94;36;58;11;7;4;6;4;2;2;1;1;29;6;23;0;1;-1
04011512;Werderland (Ortsteil);2014;0;2;-2;0;.;.;0;.;.;0;.;.;0;.;.;0;.;.;0;.;.;0;.;.
04011513;Burgdamm (Ortsteil);2014;139;84;55;107;59;48;74;39;35;8;8;0;1;7;-6;1;5;-4;30;13;17;0;0;0
04011514;Lesum (Ortsteil);2014;102;87;15;50;58;-8;42;40;2;7;15;-8;21;3;18;1;7;-6;30;19;11;0;0;0
04011515;St  Magnus (Ortsteil);2014;129;88;41;61;57;4;44;45;-1;19;11;8;11;4;7;23;10;13;34;17;17;0;0;0
0401152;Vegesack (Stadtteil);2014;744;411;333;484;266;218;380;211;169;49;47;2;31;27;4;48;29;19;175;87;88;6;2;4
04011521;Vegesack (Ortsteil);2014;107;85;22;66;57;9;47;42;5;9;9;0;5;3;2;2;4;-2;33;21;12;1;0;1
04011522;Grohn (Ortsteil);2014;247;146;101;107;73;34;74;57;17;12;16;-4;11;11;0;38;14;24;90;47;43;1;1;0
